epsilon,method,CIDEr,CIDEr_std,CLIPScore,CLIPScore_std,SSIM,SSIM_std,AttackSuccessRate,AttackSuccessRate_std
0.1,Pixel-Gaussian,58.2,3.1,0.512,0.018,0.212,0.012,0.224,0.021
0.1,Embedding-Laplace,75.6,2.4,0.612,0.012,0.184,0.011,0.198,0.014
0.1,vMF-Ours,84.1,1.9,0.665,0.011,0.125,0.009,0.152,0.011
0.2,Pixel-Gaussian,65.8,2.8,0.556,0.015,0.264,0.014,0.284,0.018
0.2,Embedding-Laplace,82.4,2.1,0.645,0.011,0.242,0.012,0.262,0.015
0.2,vMF-Ours,90.2,1.8,0.698,0.010,0.185,0.011,0.215,0.012
0.5,Pixel-Gaussian,78.2,2.4,0.618,0.012,0.384,0.016,0.412,0.018
0.5,Embedding-Laplace,92.5,1.9,0.702,0.010,0.365,0.014,0.395,0.017
0.5,vMF-Ours,100.8,1.6,0.754,0.009,0.282,0.013,0.312,0.014
1.0,Pixel-Gaussian,90.4,1.8,0.704,0.009,0.512,0.018,0.524,0.019
1.0,Embedding-Laplace,102.8,1.5,0.758,0.008,0.485,0.015,0.505,0.018
1.0,vMF-Ours,108.5,1.4,0.792,0.008,0.394,0.015,0.425,0.016
2.0,Pixel-Gaussian,105.2,1.5,0.765,0.008,0.684,0.020,0.684,0.020
2.0,Embedding-Laplace,110.4,1.3,0.795,0.007,0.642,0.018,0.652,0.019
2.0,vMF-Ours,114.2,1.2,0.814,0.006,0.525,0.016,0.568,0.018
5.0,Pixel-Gaussian,112.8,1.2,0.804,0.006,0.882,0.012,0.884,0.012
5.0,Embedding-Laplace,115.2,1.1,0.821,0.005,0.874,0.011,0.892,0.011
5.0,vMF-Ours,116.8,1.0,0.828,0.005,0.842,0.010,0.864,0.010
